trial,nrows,nbins,unannotated_size,annotated_size,time (ns)
0,1000,10,46000,47460,5136501.00
1,1000,10,46000,47460,1630200.00
2,1000,10,46000,47460,1442500.00
3,1000,10,46000,47460,1317300.00
4,1000,10,46000,47460,1310200.00
0,1000,100,46000,52768,3250401.00
1,1000,100,46000,52768,3241600.00
2,1000,100,46000,52768,2904200.00
3,1000,100,46000,52768,2914301.00
4,1000,100,46000,52768,2856500.00
0,10000,10,460000,470460,2189101.00
1,10000,10,460000,470460,1761700.00
2,10000,10,460000,470460,1842900.00
3,10000,10,460000,470460,2433600.00
4,10000,10,460000,470460,1833000.00
0,10000,100,460000,475768,3504401.00
1,10000,100,460000,475768,3421700.00
2,10000,100,460000,475768,3327100.00
3,10000,100,460000,475768,3460801.00
4,10000,100,460000,475768,3593400.00
0,10000,1000,460000,529064,19619102.00
1,10000,1000,460000,529064,17930602.00
2,10000,1000,460000,529064,17833802.00
3,10000,1000,460000,529064,18339501.00
4,10000,1000,460000,529064,18048902.00
0,100000,10,4600000,4700460,5353301.00
1,100000,10,4600000,4700460,5629101.00
2,100000,10,4600000,4700460,5567400.00
3,100000,10,4600000,4700460,5190901.00
4,100000,10,4600000,4700460,5591000.00
0,100000,100,4600000,4705768,9528201.00
1,100000,100,4600000,4705768,9935501.00
2,100000,100,4600000,4705768,10179901.00
3,100000,100,4600000,4705768,11348001.00
4,100000,100,4600000,4705768,11499001.00
0,100000,1000,4600000,4849064,36504804.00
1,100000,1000,4600000,4849064,26833102.00
2,100000,1000,4600000,4849064,26771603.00
3,100000,1000,4600000,4849064,27305303.00
4,100000,1000,4600000,4849064,28689702.00
0,100000,10000,4600000,5224232,237766823.00
1,100000,10000,4600000,5224232,249834525.00
2,100000,10000,4600000,5224232,243021223.00
3,100000,10000,4600000,5224232,240536923.00
4,100000,10000,4600000,5224232,235967124.00
0,1000000,10,46000000,47000460,44436304.00
1,1000000,10,46000000,47000460,43196304.00
2,1000000,10,46000000,47000460,44790805.00
3,1000000,10,46000000,47000460,46112305.00
4,1000000,10,46000000,47000460,46162904.00
0,1000000,100,46000000,47005768,74159808.00
1,1000000,100,46000000,47005768,71381907.00
2,1000000,100,46000000,47005768,71224207.00
3,1000000,100,46000000,47005768,71298407.00
4,1000000,100,46000000,47005768,73142507.00
0,1000000,1000,46000000,48049064,113545311.00
1,1000000,1000,46000000,48049064,114864511.00
2,1000000,1000,46000000,48049064,116881612.00
3,1000000,1000,46000000,48049064,134314414.00
4,1000000,1000,46000000,48049064,137281314.00
0,1000000,10000,46000000,48424232,373546337.00
1,1000000,10000,46000000,48424232,360995536.00
2,1000000,10000,46000000,48424232,388368839.00
3,1000000,10000,46000000,48424232,360749937.00
4,1000000,10000,46000000,48424232,413919541.00
0,1000000,100000,46000000,53713576,4130370915.00
1,1000000,100000,46000000,53713576,3876785198.00
2,1000000,100000,46000000,53713576,3892976945.00
3,1000000,100000,46000000,53713576,3838583510.00
4,1000000,100000,46000000,53713576,3881437062.00
0,10000000,10,460000000,470000460,440442026.00
1,10000000,10,460000000,470000460,429016023.00
2,10000000,10,460000000,470000460,439401326.00
3,10000000,10,460000000,470000460,435090025.00
4,10000000,10,460000000,470000460,444442527.00
0,10000000,100,460000000,470005768,713688605.00
1,10000000,100,460000000,470005768,699570400.00
2,10000000,100,460000000,470005768,698961800.00
3,10000000,100,460000000,470005768,707584803.00
4,10000000,100,460000000,470005768,706540502.00
0,10000000,1000,460000000,480049064,1002092909.00
1,10000000,1000,460000000,480049064,1024700228.00
2,10000000,1000,460000000,480049064,993098733.00
3,10000000,1000,460000000,480049064,1024823328.00
4,10000000,1000,460000000,480049064,1061487921.00
0,10000000,10000,460000000,480424232,1537978641.00
1,10000000,10000,460000000,480424232,1503817353.00
2,10000000,10000,460000000,480424232,1503948344.00
3,10000000,10000,460000000,480424232,1579036907.00
4,10000000,10000,460000000,480424232,1492569107.00
0,10000000,100000,460000000,503713576,4913842656.00
1,10000000,100000,460000000,503713576,4948291074.00
2,10000000,100000,460000000,503713576,5070654211.00
3,10000000,100000,460000000,503713576,4891182944.00
4,10000000,100000,460000000,503713576,4871744696.00
0,10000000,1000000,460000000,549816616,46698905446.00
1,10000000,1000000,460000000,549816616,47704930965.00
2,10000000,1000000,460000000,549816616,47733633702.00
3,10000000,1000000,460000000,549816616,48191669692.00
4,10000000,1000000,460000000,549816616,47955039913.00
