trial,nrows,nbins,filter,sketch_size,time (ns)
0,1000,10,filter1,1,418200.00
1,1000,10,filter1,1,379500.00
2,1000,10,filter1,1,328100.00
3,1000,10,filter1,1,326000.00
4,1000,10,filter1,1,322300.00
0,1000,10,filter1,2,510200.00
1,1000,10,filter1,2,506500.00
2,1000,10,filter1,2,494800.00
3,1000,10,filter1,2,516700.00
4,1000,10,filter1,2,494000.00
0,1000,10,filter1,4,829200.00
1,1000,10,filter1,4,815700.00
2,1000,10,filter1,4,1092300.00
3,1000,10,filter1,4,982600.00
4,1000,10,filter1,4,864400.00
0,1000,10,filter1,8,1483200.00
1,1000,10,filter1,8,1575000.00
2,1000,10,filter1,8,1451000.00
3,1000,10,filter1,8,1591600.00
4,1000,10,filter1,8,1868700.00
0,1000,10,filter2,1,346200.00
1,1000,10,filter2,1,334400.00
2,1000,10,filter2,1,331600.00
3,1000,10,filter2,1,329500.00
4,1000,10,filter2,1,332700.00
0,1000,10,filter2,2,504600.00
1,1000,10,filter2,2,501700.00
2,1000,10,filter2,2,540600.00
3,1000,10,filter2,2,521200.00
4,1000,10,filter2,2,527000.00
0,1000,10,filter2,4,880500.00
1,1000,10,filter2,4,809100.00
2,1000,10,filter2,4,902000.00
3,1000,10,filter2,4,844100.00
4,1000,10,filter2,4,803100.00
0,1000,10,filter2,8,1495700.00
1,1000,10,filter2,8,1402200.00
2,1000,10,filter2,8,1456300.00
3,1000,10,filter2,8,1405800.00
4,1000,10,filter2,8,1506600.00
0,1000,10,filter3,1,304200.00
1,1000,10,filter3,1,267000.00
2,1000,10,filter3,1,259200.00
3,1000,10,filter3,1,255500.00
4,1000,10,filter3,1,257300.00
0,1000,10,filter3,2,322600.00
1,1000,10,filter3,2,323400.00
2,1000,10,filter3,2,323300.00
3,1000,10,filter3,2,324000.00
4,1000,10,filter3,2,473600.00
0,1000,10,filter3,4,477700.00
1,1000,10,filter3,4,467400.00
2,1000,10,filter3,4,432000.00
3,1000,10,filter3,4,431900.00
4,1000,10,filter3,4,434000.00
0,1000,10,filter3,8,651700.00
1,1000,10,filter3,8,690200.00
2,1000,10,filter3,8,748600.00
3,1000,10,filter3,8,734800.00
4,1000,10,filter3,8,641400.00
0,1000,100,filter1,1,330900.00
1,1000,100,filter1,1,323600.00
2,1000,100,filter1,1,318100.00
3,1000,100,filter1,1,336000.00
4,1000,100,filter1,1,316500.00
0,1000,100,filter1,2,489300.00
1,1000,100,filter1,2,483100.00
2,1000,100,filter1,2,482500.00
