trial,nrows,nbins,filter,sketch_size,time (ns)
0,1000,10,filter1,1,505700.00
1,1000,10,filter1,1,431300.00
2,1000,10,filter1,1,413700.00
3,1000,10,filter1,1,423500.00
4,1000,10,filter1,1,395300.00
0,1000,10,filter1,2,381000.00
1,1000,10,filter1,2,362700.00
2,1000,10,filter1,2,556400.00
3,1000,10,filter1,2,386400.00
4,1000,10,filter1,2,351800.00
0,1000,10,filter1,4,395200.00
1,1000,10,filter1,4,374900.00
2,1000,10,filter1,4,360800.00
3,1000,10,filter1,4,357300.00
4,1000,10,filter1,4,451300.00
0,1000,10,filter1,8,387200.00
1,1000,10,filter1,8,358100.00
2,1000,10,filter1,8,532700.00
3,1000,10,filter1,8,422200.00
4,1000,10,filter1,8,436500.00
0,1000,10,filter2,1,483200.00
1,1000,10,filter2,1,353000.00
2,1000,10,filter2,1,340900.00
3,1000,10,filter2,1,341500.00
4,1000,10,filter2,1,345800.00
0,1000,10,filter2,2,358900.00
1,1000,10,filter2,2,356800.00
2,1000,10,filter2,2,349000.00
3,1000,10,filter2,2,348000.00
4,1000,10,filter2,2,349600.00
0,1000,10,filter2,4,357600.00
1,1000,10,filter2,4,355900.00
2,1000,10,filter2,4,354200.00
3,1000,10,filter2,4,357600.00
4,1000,10,filter2,4,403400.00
0,1000,10,filter2,8,378000.00
1,1000,10,filter2,8,427700.00
2,1000,10,filter2,8,425600.00
3,1000,10,filter2,8,414800.00
4,1000,10,filter2,8,384500.00
0,1000,10,filter3,1,420000.00
1,1000,10,filter3,1,345800.00
2,1000,10,filter3,1,332700.00
3,1000,10,filter3,1,329500.00
4,1000,10,filter3,1,336800.00
0,1000,10,filter3,2,369000.00
1,1000,10,filter3,2,364300.00
2,1000,10,filter3,2,356000.00
3,1000,10,filter3,2,398700.00
4,1000,10,filter3,2,348800.00
0,1000,10,filter3,4,396400.00
1,1000,10,filter3,4,351800.00
2,1000,10,filter3,4,363000.00
3,1000,10,filter3,4,362100.00
4,1000,10,filter3,4,351700.00
0,1000,10,filter3,8,402000.00
1,1000,10,filter3,8,525700.00
2,1000,10,filter3,8,579300.00
3,1000,10,filter3,8,421000.00
4,1000,10,filter3,8,376100.00
0,1000,100,filter1,1,417300.00
1,1000,100,filter1,1,351600.00
2,1000,100,filter1,1,339000.00
3,1000,100,filter1,1,337600.00
