trial,nrows,nbins,filter,sketch_size,time (ns)
0,1000,10,filter1,1,369800.00
1,1000,10,filter1,1,288700.00
2,1000,10,filter1,1,310100.00
3,1000,10,filter1,1,270400.00
4,1000,10,filter1,1,265900.00
0,1000,10,filter1,2,276300.00
1,1000,10,filter1,2,269600.00
2,1000,10,filter1,2,266900.00
3,1000,10,filter1,2,291200.00
4,1000,10,filter1,2,272200.00
0,1000,10,filter1,4,284300.00
1,1000,10,filter1,4,279000.00
2,1000,10,filter1,4,275800.00
3,1000,10,filter1,4,275400.00
4,1000,10,filter1,4,296701.00
0,1000,10,filter1,8,302000.00
1,1000,10,filter1,8,309300.00
2,1000,10,filter1,8,294100.00
3,1000,10,filter1,8,334500.00
4,1000,10,filter1,8,405900.00
0,1000,10,filter2,1,373700.00
1,1000,10,filter2,1,384000.00
2,1000,10,filter2,1,264800.00
3,1000,10,filter2,1,260600.00
4,1000,10,filter2,1,263500.00
0,1000,10,filter2,2,280600.00
1,1000,10,filter2,2,292700.00
2,1000,10,filter2,2,315900.00
3,1000,10,filter2,2,412000.00
4,1000,10,filter2,2,407400.00
0,1000,10,filter2,4,313800.00
1,1000,10,filter2,4,316600.00
2,1000,10,filter2,4,284900.00
3,1000,10,filter2,4,299900.00
4,1000,10,filter2,4,301100.00
0,1000,10,filter2,8,303900.00
1,1000,10,filter2,8,368300.00
2,1000,10,filter2,8,298000.00
3,1000,10,filter2,8,293300.00
4,1000,10,filter2,8,313700.00
0,1000,10,filter3,1,373700.00
1,1000,10,filter3,1,478800.00
2,1000,10,filter3,1,668300.00
3,1000,10,filter3,1,413400.00
4,1000,10,filter3,1,452200.00
0,1000,10,filter3,2,386200.00
1,1000,10,filter3,2,336900.00
2,1000,10,filter3,2,316200.00
3,1000,10,filter3,2,332000.00
4,1000,10,filter3,2,316000.00
0,1000,10,filter3,4,331100.00
1,1000,10,filter3,4,398700.00
2,1000,10,filter3,4,332300.00
3,1000,10,filter3,4,387400.00
4,1000,10,filter3,4,358800.00
0,1000,10,filter3,8,418700.00
1,1000,10,filter3,8,334300.00
2,1000,10,filter3,8,357400.00
3,1000,10,filter3,8,358000.00
4,1000,10,filter3,8,336000.00
0,1000,10,filter4,1,700600.00
1,1000,10,filter4,1,274400.00
2,1000,10,filter4,1,259400.00
3,1000,10,filter4,1,263800.00
4,1000,10,filter4,1,243500.00
0,1000,10,filter4,2,936200.00
1,1000,10,filter4,2,594200.00
2,1000,10,filter4,2,637400.00
3,1000,10,filter4,2,754000.00
4,1000,10,filter4,2,583500.00
0,1000,10,filter4,4,1097900.00
1,1000,10,filter4,4,906500.00
2,1000,10,filter4,4,908600.00
3,1000,10,filter4,4,880400.00
4,1000,10,filter4,4,883300.00
0,1000,10,filter4,8,1503700.00
1,1000,10,filter4,8,1605700.00
2,1000,10,filter4,8,1522400.00
3,1000,10,filter4,8,1623600.00
4,1000,10,filter4,8,1604500.00
0,1000,100,filter1,1,335500.00
1,1000,100,filter1,1,269900.00
2,1000,100,filter1,1,326300.00
3,1000,100,filter1,1,258700.00
4,1000,100,filter1,1,257700.00
0,1000,100,filter1,2,318000.00
1,1000,100,filter1,2,264100.00
2,1000,100,filter1,2,275200.00
3,1000,100,filter1,2,285700.00
4,1000,100,filter1,2,259500.00
0,1000,100,filter1,4,284601.00
1,1000,100,filter1,4,302700.00
2,1000,100,filter1,4,289800.00
3,1000,100,filter1,4,283700.00
4,1000,100,filter1,4,260200.00
0,1000,100,filter1,8,322800.00
1,1000,100,filter1,8,318700.00
2,1000,100,filter1,8,279700.00
3,1000,100,filter1,8,298500.00
4,1000,100,filter1,8,271400.00
0,1000,100,filter2,1,279900.00
1,1000,100,filter2,1,302100.00
2,1000,100,filter2,1,267100.00
3,1000,100,filter2,1,262200.00
4,1000,100,filter2,1,288000.00
0,1000,100,filter2,2,282700.00
1,1000,100,filter2,2,274900.00
2,1000,100,filter2,2,309400.00
3,1000,100,filter2,2,302400.00
4,1000,100,filter2,2,298700.00
0,1000,100,filter2,4,289700.00
1,1000,100,filter2,4,276400.00
2,1000,100,filter2,4,296900.00
3,1000,100,filter2,4,270200.00
4,1000,100,filter2,4,285800.00
0,1000,100,filter2,8,311500.00
1,1000,100,filter2,8,267100.00
2,1000,100,filter2,8,294100.00
3,1000,100,filter2,8,286600.00
4,1000,100,filter2,8,395200.00
0,1000,100,filter3,1,424800.00
1,1000,100,filter3,1,435800.00
2,1000,100,filter3,1,474500.00
3,1000,100,filter3,1,327800.00
4,1000,100,filter3,1,330100.00
0,1000,100,filter3,2,349900.00
1,1000,100,filter3,2,313800.00
2,1000,100,filter3,2,309200.00
3,1000,100,filter3,2,306000.00
4,1000,100,filter3,2,317400.00
0,1000,100,filter3,4,320500.00
1,1000,100,filter3,4,306900.00
2,1000,100,filter3,4,326300.00
3,1000,100,filter3,4,322500.00
4,1000,100,filter3,4,297800.00
0,1000,100,filter3,8,364200.00
1,1000,100,filter3,8,303700.00
2,1000,100,filter3,8,349400.00
3,1000,100,filter3,8,310300.00
4,1000,100,filter3,8,320900.00
0,1000,100,filter4,1,289500.00
1,1000,100,filter4,1,239800.00
2,1000,100,filter4,1,232200.00
3,1000,100,filter4,1,252000.00
4,1000,100,filter4,1,228700.00
0,1000,100,filter4,2,1007900.00
1,1000,100,filter4,2,668100.00
2,1000,100,filter4,2,588500.00
3,1000,100,filter4,2,578200.00
4,1000,100,filter4,2,558800.00
0,1000,100,filter4,4,899400.00
1,1000,100,filter4,4,851200.00
2,1000,100,filter4,4,888700.00
3,1000,100,filter4,4,908600.00
4,1000,100,filter4,4,918600.00
0,1000,100,filter4,8,1570300.00
1,1000,100,filter4,8,1471300.00
2,1000,100,filter4,8,1433400.00
3,1000,100,filter4,8,1545300.00
4,1000,100,filter4,8,1494300.00
0,10000,10,filter1,1,381000.00
1,10000,10,filter1,1,335600.00
2,10000,10,filter1,1,330800.00
3,10000,10,filter1,1,327500.00
4,10000,10,filter1,1,330500.00
0,10000,10,filter1,2,377900.00
1,10000,10,filter1,2,370400.00
2,10000,10,filter1,2,367100.00
3,10000,10,filter1,2,368700.00
4,10000,10,filter1,2,416800.00
0,10000,10,filter1,4,452300.00
1,10000,10,filter1,4,431500.00
2,10000,10,filter1,4,423700.00
3,10000,10,filter1,4,426000.00
4,10000,10,filter1,4,430700.00
0,10000,10,filter1,8,617200.00
1,10000,10,filter1,8,604101.00
2,10000,10,filter1,8,562500.00
3,10000,10,filter1,8,550000.00
4,10000,10,filter1,8,545700.00
0,10000,10,filter2,1,349000.00
1,10000,10,filter2,1,332800.00
2,10000,10,filter2,1,631900.00
3,10000,10,filter2,1,497200.00
4,10000,10,filter2,1,489500.00
0,10000,10,filter2,2,452900.00
1,10000,10,filter2,2,525000.00
2,10000,10,filter2,2,414000.00
3,10000,10,filter2,2,445800.00
4,10000,10,filter2,2,378200.00
0,10000,10,filter2,4,494500.00
1,10000,10,filter2,4,451600.00
2,10000,10,filter2,4,442300.00
3,10000,10,filter2,4,441400.00
4,10000,10,filter2,4,440300.00
0,10000,10,filter2,8,569000.00
1,10000,10,filter2,8,568100.00
2,10000,10,filter2,8,559900.00
3,10000,10,filter2,8,556100.00
4,10000,10,filter2,8,580200.00
0,10000,10,filter3,1,407400.00
1,10000,10,filter3,1,369000.00
2,10000,10,filter3,1,368400.00
3,10000,10,filter3,1,365500.00
4,10000,10,filter3,1,378200.00
0,10000,10,filter3,2,425200.00
1,10000,10,filter3,2,415200.00
2,10000,10,filter3,2,431700.00
3,10000,10,filter3,2,410300.00
4,10000,10,filter3,2,411100.00
0,10000,10,filter3,4,546300.00
1,10000,10,filter3,4,618300.00
2,10000,10,filter3,4,503400.00
3,10000,10,filter3,4,476200.00
4,10000,10,filter3,4,473500.00
0,10000,10,filter3,8,733000.00
1,10000,10,filter3,8,753500.00
2,10000,10,filter3,8,632500.00
3,10000,10,filter3,8,616300.00
4,10000,10,filter3,8,676400.00
0,10000,10,filter4,1,313800.00
1,10000,10,filter4,1,296000.00
2,10000,10,filter4,1,240900.00
3,10000,10,filter4,1,236200.00
4,10000,10,filter4,1,236100.00
0,10000,10,filter4,2,773300.00
1,10000,10,filter4,2,565600.00
2,10000,10,filter4,2,557000.00
3,10000,10,filter4,2,563200.00
4,10000,10,filter4,2,552300.00
0,10000,10,filter4,4,971600.00
1,10000,10,filter4,4,933100.00
2,10000,10,filter4,4,941700.00
3,10000,10,filter4,4,988800.00
4,10000,10,filter4,4,1223000.00
0,10000,10,filter4,8,1900700.00
1,10000,10,filter4,8,1618500.00
2,10000,10,filter4,8,1575300.00
3,10000,10,filter4,8,1904900.00
4,10000,10,filter4,8,1625900.00
0,10000,100,filter1,1,359600.00
1,10000,100,filter1,1,304000.00
2,10000,100,filter1,1,298600.00
3,10000,100,filter1,1,300100.00
4,10000,100,filter1,1,306900.00
0,10000,100,filter1,2,378600.00
1,10000,100,filter1,2,315500.00
2,10000,100,filter1,2,303800.00
3,10000,100,filter1,2,319800.00
4,10000,100,filter1,2,308100.00
0,10000,100,filter1,4,332500.00
1,10000,100,filter1,4,325100.00
2,10000,100,filter1,4,312500.00
3,10000,100,filter1,4,312300.00
4,10000,100,filter1,4,337500.00
0,10000,100,filter1,8,357400.00
1,10000,100,filter1,8,386900.00
2,10000,100,filter1,8,337300.00
3,10000,100,filter1,8,331400.00
4,10000,100,filter1,8,330800.00
0,10000,100,filter2,1,307000.00
1,10000,100,filter2,1,295100.00
2,10000,100,filter2,1,290700.00
3,10000,100,filter2,1,289400.00
4,10000,100,filter2,1,289300.00
0,10000,100,filter2,2,313600.00
1,10000,100,filter2,2,299300.00
2,10000,100,filter2,2,303900.00
3,10000,100,filter2,2,307700.00
4,10000,100,filter2,2,303500.00
0,10000,100,filter2,4,334100.00
1,10000,100,filter2,4,344000.00
2,10000,100,filter2,4,316400.00
3,10000,100,filter2,4,314600.00
4,10000,100,filter2,4,347500.00
0,10000,100,filter2,8,356800.00
1,10000,100,filter2,8,339400.00
2,10000,100,filter2,8,334500.00
3,10000,100,filter2,8,338100.00
4,10000,100,filter2,8,332800.00
0,10000,100,filter3,1,357000.00
1,10000,100,filter3,1,318600.00
2,10000,100,filter3,1,313300.00
3,10000,100,filter3,1,309600.00
4,10000,100,filter3,1,311300.00
0,10000,100,filter3,2,487900.00
1,10000,100,filter3,2,386600.00
2,10000,100,filter3,2,366700.00
3,10000,100,filter3,2,364600.00
4,10000,100,filter3,2,372400.00
0,10000,100,filter3,4,503300.00
1,10000,100,filter3,4,391900.00
2,10000,100,filter3,4,367900.00
3,10000,100,filter3,4,404400.00
4,10000,100,filter3,4,369200.00
0,10000,100,filter3,8,422500.00
1,10000,100,filter3,8,428100.00
2,10000,100,filter3,8,369200.00
3,10000,100,filter3,8,401200.00
4,10000,100,filter3,8,366200.00
0,10000,100,filter4,1,299800.00
1,10000,100,filter4,1,244500.00
2,10000,100,filter4,1,244200.00
3,10000,100,filter4,1,287500.00
4,10000,100,filter4,1,229800.00
0,10000,100,filter4,2,987800.00
1,10000,100,filter4,2,574500.00
2,10000,100,filter4,2,528400.00
3,10000,100,filter4,2,541000.00
